state,high_quality,age_cat,cost
Delaware,1,adult,0
District of Columbia,1,adult,0
Florida,1,adult,0
Georgia,1,adult,0
Hawaii,1,adult,0
Idaho,1,adult,0
Illinois,1,adult,0
Indiana,1,adult,0
Iowa,1,adult,0
Kansas,1,adult,0
Kentucky,1,adult,0
Louisiana,1,adult,0
Maine,1,adult,0
Maryland,1,adult,0
Massachusetts,1,adult,0
Michigan,1,adult,0
Minnesota,1,adult,0
Mississippi,1,adult,0
Missouri,1,adult,0
Montana,1,adult,0
Nebraska,1,adult,0
Nevada,1,adult,0
New Hampshire,1,adult,0
New Jersey,1,adult,0
New Mexico,1,adult,0
New York,1,adult,0
North Carolina,1,adult,0
North Dakota,1,adult,0
Ohio,1,adult,0
Oklahoma,1,adult,0
Oregon,1,adult,0
Pennsylvania,1,adult,0
Rhode Island,1,adult,0
South Carolina,1,adult,0
South Dakota,1,adult,0
Tennessee,1,adult,0
Texas,1,adult,0
Utah,1,adult,0
Vermont,1,adult,0
Virginia,1,adult,0
Washington,1,adult,0
West Virginia,1,adult,0
Wisconsin,1,adult,0
Wyoming,1,adult,0
United States,1,adult,0
