spm_resources_pp_decile,state,net_per_dollar_ca_state,funding,current_resources,monthly_ca,net_chg,pct_chg
2,Wyoming,1.056920218680172,federal,26052.781327337267,0,0.0,0.0
2,Wyoming,1.0558327921845923,state,26052.781327337267,0,0.0,0.0
3,Alabama,0.41516212363285604,federal,28534.182467279225,0,0.0,0.0
3,Alabama,0.6123834234473693,state,28534.182467279225,0,0.0,0.0
3,Alaska,1.0430058842871308,federal,39175.06280500395,0,0.0,0.0
3,Alaska,0.9765624219683388,state,39175.06280500395,0,0.0,0.0
3,Arizona,0.7260578144808882,federal,33818.64881915273,0,0.0,0.0
3,Arizona,0.7042112698023637,state,33818.64881915273,0,0.0,0.0
3,Arkansas,0.4625001717895419,federal,29048.01540278681,0,0.0,0.0
3,Arkansas,0.6809875925816713,state,29048.01540278681,0,0.0,0.0
3,California,0.6765823773213598,federal,36915.88496526501,0,0.0,0.0
3,California,0.6832680949640921,state,36915.88496526501,0,0.0,0.0
3,Colorado,0.7321993219943813,federal,32139.038903742785,0,0.0,0.0
3,Colorado,0.5168098233837469,state,32139.038903742785,0,0.0,0.0
3,Connecticut,0.692227441754977,federal,32240.256451393012,0,0.0,0.0
3,Connecticut,0.33861913823685075,state,32240.256451393012,0,0.0,0.0
3,Delaware,0.54075840534284,federal,32635.218372880972,0,0.0,0.0
3,Delaware,0.5195987941845049,state,32635.218372880972,0,0.0,0.0
3,District of Columbia,0.6088740581971612,federal,27508.253006187733,0,0.0,0.0
3,District of Columbia,0.295142263020606,state,27508.253006187733,0,0.0,0.0
3,Florida,0.509648595594973,federal,30768.849705454537,0,0.0,0.0
3,Florida,0.5492647014552847,state,30768.849705454537,0,0.0,0.0
3,Georgia,0.5224388575475792,federal,31665.499151061795,0,0.0,0.0
3,Georgia,0.611417152319515,state,31665.499151061795,0,0.0,0.0
3,Hawaii,0.677325668239391,federal,36560.72100135243,0,0.0,0.0
3,Hawaii,0.48602763864769044,state,36560.72100135243,0,0.0,0.0
3,Idaho,0.7437911389422877,federal,34031.863061022195,0,0.0,0.0
3,Idaho,0.7842402304105479,state,34031.863061022195,0,0.0,0.0
3,Illinois,0.5929587153532049,federal,32474.876455797243,0,0.0,0.0
3,Illinois,0.5194789936716316,state,32474.876455797243,0,0.0,0.0
3,Indiana,0.7627646862239283,federal,33634.63700878841,0,0.0,0.0
3,Indiana,0.7417089895365889,state,33634.63700878841,0,0.0,0.0
3,Iowa,0.6896218926206018,federal,32809.84244276707,0,0.0,0.0
3,Iowa,0.5895010094773052,state,32809.84244276707,0,0.0,0.0
3,Kansas,0.5608924391468323,federal,30540.27983801943,0,0.0,0.0
3,Kansas,0.488865006875241,state,30540.27983801943,0,0.0,0.0
3,Kentucky,0.5188467835866132,federal,30957.541672601874,0,0.0,0.0
3,Kentucky,0.621387034162458,state,30957.541672601874,0,0.0,0.0
3,Louisiana,0.527775816861812,federal,28486.834737512272,0,0.0,0.0
3,Louisiana,0.6442205169477888,state,28486.834737512272,0,0.0,0.0
3,Maine,0.6064314447452741,federal,30472.897118316367,0,0.0,0.0
3,Maine,0.5364579836077017,state,30472.897118316367,0,0.0,0.0
3,Maryland,0.732997312477619,federal,35578.56358721941,0,0.0,0.0
3,Maryland,0.5948265699216518,state,35578.56358721941,0,0.0,0.0
3,Massachusetts,0.556129592862055,federal,32998.622814092836,0,0.0,0.0
3,Massachusetts,0.44072423455892007,state,32998.622814092836,0,0.0,0.0
3,Michigan,0.5007151497561705,federal,29036.264996191814,0,0.0,0.0
3,Michigan,0.449594080458,state,29036.264996191814,0,0.0,0.0
3,Minnesota,0.6864701328058127,federal,32064.659092191014,0,0.0,0.0
3,Minnesota,0.5420272385049307,state,32064.659092191014,0,0.0,0.0
3,Mississippi,0.5695830592835516,federal,29936.333353102687,0,0.0,0.0
3,Mississippi,0.6880071227177014,state,29936.333353102687,0,0.0,0.0
3,Missouri,0.6712475797383464,federal,31562.180452627217,0,0.0,0.0
3,Missouri,0.6496712304383787,state,31562.180452627217,0,0.0,0.0
3,Montana,0.6027005204516701,federal,29999.926214430918,0,0.0,0.0
3,Montana,0.5882894129626486,state,29999.926214430918,0,0.0,0.0
3,Nebraska,0.6292106318174253,federal,29967.5773699642,0,0.0,0.0
